GrLivArea,LotArea,TotalBsmtSF,BsmtUnfSF,GarageArea,YearBuilt,LotFrontage,YearRemodAdd,BsmtFinSF1,OpenPorchSF,SalePrice
1610,10603,1610,410,480,1977,70.04995836802665,2001,1200,68,205000
1732,9206,741,741,476,1985,77.0,1985,0,46,178000
1535,7018,0,0,410,1979,64.0,1979,0,0,118964
1226,10402,1226,1226,740,2009,94.0,2009,0,36,198900
1818,7758,1040,816,240,1931,70.04995836802665,1950,224,0,169500
1992,9375,1053,1053,648,2003,75.0,2004,0,45,250000
1047,10800,641,641,273,1885,60.0,1995,0,0,100000
789,6000,789,516,250,1948,50.0,1950,104,0,115000
1517,8500,793,793,0,1919,85.0,2005,0,0,115000
1844,11751,1844,1139,546,1977,105.0,1977,705,122,190000
1855,9525,994,550,325,1954,75.0,1972,444,0,136900
1430,7750,384,134,400,2000,70.04995836802665,2000,250,0,180000
2696,9965,1264,280,792,2007,77.0,2007,984,184,383970
2259,21000,1809,905,450,1953,70.04995836802665,1953,35,120,217000
2320,7259,1028,104,180,1945,61.0,2002,774,0,259500
1458,3230,729,310,440,1999,34.0,1999,419,32,176000
1092,11616,1092,252,288,1962,70.04995836802665,1962,170,20,139000
1125,8536,1125,1125,430,2006,74.0,2007,0,64,155000
3222,12376,1673,203,594,1990,90.0,1990,1470,0,320000
1456,8461,728,728,390,2005,65.0,2006,0,24,163990
988,21453,938,0,540,1969,70.04995836802665,1969,938,130,180000
1123,6060,732,732,264,1939,50.0,1950,0,0,100000
1080,9464,1080,510,288,1958,75.0,1958,570,0,136000
1199,7892,1199,899,530,1993,55.0,1993,300,63,153900
1586,17043,1362,1362,435,1979,48.0,1998,0,0,181000
754,6780,520,30,0,1935,60.0,1982,490,0,84500
958,4928,1078,958,440,1976,70.04995836802665,1976,120,205,128000
840,4388,672,556,0,1930,55.0,1950,116,0,87000
1348,7590,660,148,453,1966,69.0,1966,512,108,155000
1053,8973,1008,413,750,1958,69.0,1991,567,80,150000
2157,14200,924,479,487,1966,88.0,1966,445,66,226000
2054,12224,992,297,390,2000,70.04995836802665,2000,695,48,244000
1327,7388,1063,658,624,1959,75.0,2002,405,0,150750
1296,6853,1267,262,471,2001,70.04995836802665,2002,1005,25,220000
1721,10335,1461,891,440,1968,78.0,1993,570,96,180000
1682,10400,1304,1304,530,1970,80.0,1970,0,0,174000
1214,10355,1214,519,318,1967,70.04995836802665,1967,695,111,143000
1959,11070,1907,1907,766,1988,82.0,1989,0,0,171000
1852,9066,1004,336,660,1999,73.0,2000,668,106,230000
1764,15426,928,107,470,1997,65.0,1997,821,99,231500
864,10500,864,432,0,1971,70.0,1971,432,0,115000
1734,11645,1734,434,660,2005,78.0,2005,1300,24,260000
1385,8520,910,403,720,1952,71.0,1952,507,0,166000
1501,10335,1490,811,577,1999,78.0,1999,679,29,204000
1728,9100,1728,396,504,1963,70.0,1963,1332,0,125000
1709,2522,970,970,380,2004,24.0,2006,0,40,130000
875,6120,715,506,180,1931,51.0,1993,209,0,105000
2035,9505,884,884,434,2001,70.04995836802665,2001,0,48,222500
1080,7500,1080,400,0,2004,63.0,2005,680,0,141000
1344,6240,896,896,240,1936,70.04995836802665,1950,0,114,115000
969,10356,969,253,440,1975,120.0,1975,716,0,122000
1710,13891,1710,310,866,2007,107.0,2008,1400,102,372402
1993,14803,825,409,495,1971,70.04995836802665,1971,416,66,190000
1252,13500,1602,93,564,1960,70.04995836802665,1975,429,0,235000
1200,11340,1200,1200,312,1923,84.0,1950,0,0,125000
1096,9600,572,572,0,1924,60.0,1950,0,8,79000
1040,7200,0,0,625,1950,60.0,1950,0,0,109500
1968,12003,774,774,680,2009,92.0,2010,0,75,269500
1947,12552,991,769,678,2004,100.0,2005,222,136,254900
2462,19378,1392,1335,576,2005,134.0,2006,57,132,320000
1232,11120,1232,572,516,1984,70.04995836802665,1984,660,0,162500
2668,13688,1572,556,726,2003,110.0,2004,1016,0,412500
1541,12182,1541,340,532,2005,95.0,2005,1201,70,220000
882,5500,882,882,0,1956,55.0,1956,0,0,103200
1616,5400,1149,779,216,1926,40.0,2004,370,0,152000
1355,10106,644,112,0,1940,62.0,1999,351,0,127500
1867,10708,1617,470,303,1955,70.04995836802665,1993,379,0,190000
2161,10562,1582,294,789,2007,86.0,2007,1288,120,325624
1720,8244,840,840,440,2004,62.0,2004,0,48,183500
1707,16669,1686,1686,511,1981,70.04995836802665,1981,0,64,228000
1382,12358,720,360,660,1941,70.04995836802665,1950,360,0,128500
1656,31770,1080,441,528,1960,141.0,1960,639,62,215000
1767,5306,1064,354,504,1987,44.0,1987,495,35,239000
1362,10197,1362,700,504,1961,80.0,1961,288,20,163000
1651,12416,1606,0,616,1986,47.0,1986,1398,0,184000
2158,12615,1202,725,576,1950,84.0,2001,477,29,243000
2060,10029,1151,320,521,1988,97.0,1989,831,228,211000
1920,13650,1052,554,451,1958,70.04995836802665,1958,57,0,172500
2234,17423,2216,312,1166,2008,63.0,2009,1904,60,501837
968,8520,968,968,480,1923,60.0,2006,0,0,100000
1525,2117,756,320,440,2000,70.04995836802665,2000,436,0,177000
1802,7588,793,441,216,1920,54.0,1950,352,0,200100
1340,9060,0,0,252,1957,60.0,2006,0,0,120000
2082,11426,1362,1362,484,2003,63.0,2003,0,238,200000
1252,7438,504,504,576,1908,92.0,1991,0,0,127000
3608,22950,1107,1107,840,1892,90.0,1993,0,260,475000
1217,9947,1188,577,497,1990,70.04995836802665,1991,611,27,173000
1656,10410,660,660,180,1916,60.0,1987,0,0,135000
1224,7018,1086,0,528,1979,64.0,1979,1086,0,153337
1593,4923,1593,440,682,2001,41.0,2002,1153,120,286000
2727,10570,853,556,440,1932,70.0,1994,297,74,315000
1479,7472,725,99,484,1972,70.04995836802665,2004,626,32,184000
1431,9017,1431,871,666,1999,68.0,1999,560,35,192000
1709,2522,970,970,380,2004,24.0,2004,0,40,130000
864,7180,864,474,352,1972,60.0,1972,390,0,127000
1456,2280,855,289,440,1976,24.0,1976,566,0,148500
1726,9416,1726,600,786,2007,79.0,2007,1126,138,311872
3112,25419,1360,140,795,1918,174.0,1990,1036,16,235000
2229,5520,755,755,0,1912,92.0,1950,0,198,104000
1713,9591,1713,625,856,2004,76.0,2005,1088,26,274900
1121,8546,1121,1121,440,2003,80.0,2004,0,64,140000
1279,10125,1196,276,473,1977,75.0,1977,641,83,171500
1310,7000,617,0,398,1924,50.0,1950,617,0,112000
848,4438,848,186,420,2004,70.04995836802665,2004,662,0,149000
1284,3500,720,408,240,1947,50.0,1950,312,35,110000
1442,11851,1424,1424,500,1990,99.0,1990,0,34,180500
1696,13673,1140,1140,349,1962,40.0,1962,0,30,143900
1100,12493,1100,375,312,1960,70.04995836802665,1960,419,0,141000
2062,14364,1157,92,454,1988,70.04995836802665,1989,1065,55,277000
1092,8250,1092,305,504,1964,75.0,1964,787,0,145000
864,5604,864,396,0,1925,67.0,1950,468,0,98000
1212,10420,1212,1176,460,2009,83.0,2009,36,22,186000
1852,8640,900,78,644,2009,72.0,2009,822,108,252678
990,13568,990,274,576,1995,43.0,1995,716,0,156000
1392,10900,689,311,299,1977,70.04995836802665,1977,378,36,161750
1236,10011,1070,710,447,1957,72.0,1996,360,0,134450
1436,8450,1436,490,484,2004,65.0,2004,946,98,210000
1328,9906,686,686,210,1925,57.0,1950,0,172,107000
1954,15660,798,457,431,1939,70.04995836802665,2006,341,119,311500
1248,3010,1248,1232,438,2005,43.0,2006,16,0,167240
1498,8990,1498,1498,675,2006,73.0,2006,0,33,204900
2267,8068,1010,1010,390,2002,70.04995836802665,2002,0,46,200000
1552,11475,713,163,434,1975,85.0,1975,550,208,179900
864,10500,864,160,576,1971,70.0,1971,524,0,97000
2392,13472,2392,2336,968,2003,103.0,2003,56,105,386250
1302,1680,630,630,280,1971,21.0,1971,0,0,112000
2520,9950,1203,638,721,1995,82.0,1995,565,114,290000
987,1869,483,162,280,1970,21.0,1970,321,0,106000
912,8521,912,70,336,1967,70.0,1967,842,0,125000
1555,3182,1373,1357,430,2005,43.0,2006,16,20,192500
1194,8760,1194,1194,312,1959,73.0,1959,0,0,148000
2794,15138,1462,773,810,1995,174.0,1996,689,146,403000
987,1680,483,483,288,1972,21.0,1972,0,0,94500
894,10650,894,0,308,1976,75.0,1976,182,0,128200
1960,7851,860,235,440,2002,70.04995836802665,2002,625,48,216500
987,1680,483,125,264,1971,21.0,1971,358,0,89500
1414,8773,1414,1390,494,2004,65.0,2004,24,105,185500
1744,9453,996,594,457,1993,70.04995836802665,2003,402,70,194500
1694,12030,1694,1694,818,2007,93.0,2007,0,228,318000
1487,8741,735,641,220,1945,52.0,1950,94,140,113000
1566,9000,1566,488,750,2008,75.0,2008,1078,168,262500
866,3880,686,357,0,1945,40.0,1997,329,42,110500
1440,5000,540,540,352,1900,63.0,1950,0,0,79000
1217,10762,626,626,288,1980,75.0,1980,0,28,120000
2110,8880,948,253,463,1994,70.04995836802665,2002,695,130,205000
1872,10400,1845,916,604,1988,80.0,1988,929,39,241500
1928,9142,1020,1020,440,1910,69.0,1950,0,60,137000
1375,11310,1367,1367,451,1954,75.0,1954,0,30,140000
1668,11317,840,840,500,2003,72.0,2003,0,68,180000
2144,159000,1444,747,389,1958,70.04995836802665,2006,697,98,277000
1306,5350,728,728,0,1940,55.0,1966,0,0,76500
1625,4750,1573,0,538,2006,44.0,2007,1573,0,235000
1640,8366,798,798,520,2004,65.0,2004,0,45,173000
1302,9350,1302,452,309,1964,85.0,1991,270,0,158000
1314,8400,1314,392,294,1957,70.0,1957,922,0,145000
2291,8738,975,975,429,1999,66.0,1999,0,0,230000
1728,8791,864,361,673,2003,64.0,2003,503,56,207500
1604,8814,1604,270,660,2006,68.0,2006,1334,110,220000
1792,12435,963,602,564,2001,80.0,2001,361,96,231500
882,12702,0,0,308,1956,70.0,1956,0,45,97000
1382,19296,1362,0,884,1962,120.0,1962,672,0,176000
2574,9588,1482,1482,868,2007,69.0,2007,0,148,276000
1212,8471,506,0,492,1977,88.0,1995,506,12,151000
1316,5500,926,0,484,1929,50.0,2001,234,0,130000
764,5232,680,680,504,1925,30.0,2004,0,0,73000
1422,12090,1422,606,576,1981,78.0,1981,588,0,175500
1511,11207,802,88,413,1997,70.0,1997,714,75,185000
2192,8400,720,342,240,1939,60.0,1997,378,24,179500
778,6900,740,212,924,1940,71.0,1955,403,25,120500
1113,7917,1143,392,504,1976,70.04995836802665,1976,751,30,148000
1939,10728,1095,1095,1053,2006,84.0,2006,0,51,266000
1363,39104,1385,96,439,1954,73.0,2005,226,0,241500
2270,11764,1152,628,671,1999,92.0,2007,524,57,290000
1632,9600,1240,0,338,1958,80.0,1988,620,0,139000
816,8314,816,270,264,1982,76.0,1982,546,0,124500
1548,7264,952,952,672,1925,55.0,2007,0,0,205000
1560,9196,1560,1560,573,2003,129.0,2003,0,150,201000
864,19138,864,744,400,1951,140.0,1951,120,0,141000
2121,14450,2121,2121,732,2006,107.0,2007,0,98,415298
2022,10005,1160,768,505,1977,83.0,1977,392,117,192000
1982,11287,807,386,575,1989,82.0,1989,421,84,228500
1262,7200,1262,357,572,2006,60.0,2006,905,120,185000
1314,5063,1314,410,626,2007,34.0,2008,904,62,207500
1468,9612,1468,1468,898,2008,74.0,2009,0,150,244600
1575,8012,1575,1145,529,1992,50.0,1992,430,0,179200
1250,4251,625,625,528,2006,35.0,2007,0,54,164700
1734,9786,912,312,440,1962,77.0,1981,600,0,159000
858,8125,858,244,0,1971,70.04995836802665,1971,614,0,88000
900,9819,882,432,280,1967,70.04995836802665,1967,450,0,122000
1396,8730,698,698,384,1915,60.0,2003,0,0,153575
1919,15611,1079,1079,685,2006,120.0,2006,0,51,233230
1716,5687,780,570,0,1912,55.0,2000,210,184,135900
1716,11409,768,476,281,1949,60.0,2008,292,0,131000
2263,16659,795,0,539,1977,70.04995836802665,1994,795,250,235000
1644,9600,1416,131,418,1953,80.0,1953,1285,0,167000
1003,7937,1003,184,588,1984,37.0,1984,819,0,142500
1558,13710,910,490,282,1950,75.0,1950,420,0,152000
1950,7399,975,326,576,1997,66.0,1998,649,10,239000
1743,11700,702,143,539,1968,90.0,1968,384,0,175000
1152,14000,1092,1092,300,1950,80.0,2004,0,36,158500
1336,15750,1165,324,375,1953,90.0,1953,841,0,157000
2452,16226,1028,747,683,1998,66.0,1999,281,50,267000
1541,13704,1541,1541,843,2001,118.0,2002,0,81,205000
894,9800,894,0,552,1972,70.0,1972,894,0,149900
3493,18386,1470,1470,870,1880,87.0,2002,0,0,295000
2000,10386,2000,536,888,2004,80.0,2005,1464,0,305900
2243,13474,700,0,746,1990,116.0,1991,700,44,225000
1406,7920,319,319,0,1920,70.04995836802665,1950,0,144,89500
861,12342,861,599,539,1940,70.04995836802665,1950,262,0,82500
1944,12378,1896,622,708,2003,90.0,2004,1274,175,360000
1501,7685,697,179,420,1993,70.04995836802665,1994,518,63,165600
972,8000,972,292,240,1948,50.0,2002,680,0,132000
1118,7800,793,286,410,1939,65.0,1950,507,0,119900
2036,215245,2136,80,513,1965,150.0,1965,1236,0,375000
1641,9600,728,712,546,1925,60.0,1990,16,0,178000
1432,7795,716,291,432,2004,71.0,2005,425,51,188500
2353,13005,845,153,484,1980,94.0,1980,692,195,260000
1959,9000,1088,1088,1025,2006,75.0,2006,0,46,270000
2646,9900,1347,360,656,1993,90.0,1993,987,60,260000
1472,14115,1372,336,588,1980,70.04995836802665,1980,1036,48,187500
2596,16259,1249,1249,840,2006,111.0,2006,0,154,342643
2468,12099,1136,166,872,2004,99.0,2004,970,154,354000
2730,10380,1502,0,576,1986,86.0,1987,28,96,301000
1163,5820,1162,906,220,1955,49.0,2005,256,98,126175
2978,11275,710,710,564,1967,96.0,2007,0,0,242000
803,5000,720,604,360,1941,50.0,1950,116,0,87000
1719,10846,1719,100,473,1993,32.0,1993,1619,30,324000
1383,11600,1383,818,292,1960,80.0,1960,565,45,145250
2134,11888,844,844,441,1916,70.04995836802665,1994,0,60,214500
1192,6402,596,596,189,1920,60.0,1950,0,0,78000
1728,10624,1728,1424,352,1964,70.04995836802665,1964,40,0,119000
1056,8176,1056,210,308,1958,70.0,1992,846,0,139000
1629,10655,3206,1603,880,2003,85.0,2004,1124,0,284000
1358,8198,1358,638,484,2004,59.0,2004,720,30,207000
1638,9042,943,115,472,1998,59.0,1998,828,38,192000
1786,164660,1499,103,529,1965,70.04995836802665,1965,1249,0,228950
1922,14157,1922,673,676,2005,86.0,2006,1249,51,377426
1536,9135,1536,726,532,2002,70.0,2003,810,74,214000
1621,14145,1208,995,440,1984,91.0,1998,213,45,202500
1215,12400,1215,630,297,1958,66.0,1998,585,0,155000
1908,14191,967,967,431,2002,85.0,2002,0,0,202900
841,8400,721,721,294,1950,60.0,1950,0,0,82000
1040,8544,0,0,400,1949,70.04995836802665,1950,0,0,87500
1684,8849,1684,1656,564,2005,63.0,2005,28,72,266000
1112,2592,536,175,336,1976,36.0,1976,129,0,85000
1577,6435,972,972,312,1939,65.0,1950,0,0,140200
958,12772,958,460,301,1960,70.04995836802665,1998,498,0,151500
1478,17600,1478,208,498,1960,70.04995836802665,1960,1270,40,157500
1626,2448,764,191,474,2003,36.0,2004,573,27,154000
2728,20431,1848,438,706,2005,56.0,2006,1410,0,437154
1869,7820,1869,1869,617,2007,68.0,2007,0,54,318061
1453,5271,1453,371,445,1986,70.04995836802665,1986,1082,80,190000
1111,9084,616,0,200,1941,60.0,1950,236,0,95000
720,8520,624,624,484,1928,60.0,2003,0,0,105900
1595,8400,940,552,240,1940,60.0,2000,388,0,140000
1200,11249,1200,322,521,1995,105.0,1995,334,26,177500
1167,9248,1158,598,400,1992,70.04995836802665,1992,560,26,173000
1142,4224,1142,268,528,1976,44.0,1976,874,90,134000
1352,6930,1062,468,288,1958,92.0,1958,300,0,130000
1924,12011,1086,130,592,1998,78.0,1998,956,75,280000
912,7540,888,115,470,1978,70.04995836802665,1978,773,0,156000
1505,9144,883,484,240,1940,70.04995836802665,1982,399,0,145000
1922,7301,0,0,672,2003,64.0,2003,0,0,198500
987,1680,483,321,264,1972,21.0,2007,162,0,118000
1574,18800,796,84,566,1976,70.04995836802665,1976,712,111,190000
1344,10690,672,216,468,1920,59.0,1997,456,128,147000
1394,9500,1394,785,514,1963,70.04995836802665,1963,609,76,159000
1431,9150,1099,728,296,1962,101.0,1962,371,110,165000
1268,7800,1268,728,244,1954,78.0,1954,540,98,132000
1287,9830,1063,733,576,1959,70.04995836802665,2006,72,17,162000
1664,8121,953,953,460,2000,70.04995836802665,2000,0,40,172400
1588,17120,0,0,680,1959,80.0,1959,0,59,134432
752,7175,744,0,264,1984,50.0,1984,623,0,125000
1319,10634,608,0,270,1953,79.0,1953,428,0,123000
1928,8200,847,847,434,2003,65.0,2004,0,48,219500
904,10020,683,333,0,1922,70.04995836802665,1950,350,0,61000
914,8846,870,572,576,1996,57.0,1996,298,0,148000
2466,11143,1580,1580,610,2004,102.0,2005,0,214,340000
1856,11394,1856,411,834,2010,88.0,2010,1445,0,394432
1800,8123,982,982,463,2000,60.0,2000,0,63,179000
1691,5000,1026,808,308,1924,50.0,1950,218,0,127000
1301,7200,1293,1293,572,2006,60.0,2006,0,121,187750
1797,9245,939,939,639,2006,79.0,2006,0,53,213500
784,9000,784,784,360,1928,60.0,1950,0,0,76000
1953,53107,1580,595,501,1992,70.04995836802665,1992,985,231,240000
1269,3182,1256,1232,430,2004,43.0,2005,24,20,192000
1184,8410,658,658,0,1910,58.0,1996,0,151,81000
1125,7200,1041,410,352,1976,72.0,1976,631,0,125000
1479,9382,1468,1468,577,1999,93.0,2000,0,25,191000
2332,12474,1682,402,846,2007,96.0,2008,1280,134,426000
1367,8405,861,229,384,1900,50.0,1950,241,130,119000
1961,12209,804,114,560,2001,71.0,2002,690,192,215000
882,8339,0,0,294,1959,70.04995836802665,1959,0,0,106500
788,7446,788,522,0,1941,70.04995836802665,1950,266,0,100000
1034,10134,735,735,240,1940,60.0,1950,0,39,109000
1144,9571,1144,405,596,1956,68.0,1956,739,0,129000
894,7200,894,117,600,1972,60.0,1972,777,0,123000
1812,7590,864,324,264,1962,69.0,1962,540,168,169500
1077,8967,961,961,338,1920,60.0,1950,0,0,67000
1550,8125,1092,280,438,2006,65.0,2007,812,168,241000
1288,14963,1260,474,500,1996,38.0,1996,786,30,245500
1310,8767,1310,1286,400,2005,65.0,2005,24,0,164990
672,10200,672,672,240,1940,60.0,1997,0,0,108000
2263,12090,1141,1141,420,1998,93.0,1998,0,123,258000
1572,10364,806,806,373,1995,70.04995836802665,1996,0,40,168000
1620,9991,1281,165,490,1976,70.04995836802665,1993,1116,78,150000
1639,10480,1064,1064,240,1936,51.0,1950,0,0,115000
1680,15576,840,840,308,1915,63.0,1976,0,0,177000
2172,14154,1063,1063,947,2006,109.0,2006,0,62,280000
2078,10800,1034,245,836,2007,85.0,2008,789,102,339750
1276,9571,1276,1276,350,1958,68.0,1958,0,0,60000
1056,34650,1056,0,572,1955,100.0,1955,1056,0,145000
1478,4403,1470,892,484,2009,70.04995836802665,2009,578,144,222000
1028,8960,1008,1008,360,1927,56.0,1950,0,0,115000
2097,11228,1080,499,678,1993,59.0,1993,50,187,228000
1340,8899,1340,1316,396,2007,73.0,2007,24,30,181134
1400,7844,672,463,440,1978,74.0,1978,209,0,149500
2624,22420,1370,242,864,1918,86.0,1950,1128,0,239000
1134,8160,756,444,240,1940,60.0,1950,312,0,126000
1056,8450,1056,281,304,1968,65.0,1968,775,85,142000
1344,7060,1344,35,784,1997,78.0,1998,1309,0,206300
1602,16635,1602,356,529,1977,70.04995836802665,2000,1246,0,215000
988,21750,988,988,520,1954,100.0,1954,0,0,113000
2630,9200,1470,484,696,1998,80.0,1998,986,66,315000
1196,9000,1196,580,297,1956,72.0,1956,616,44,139000
1389,3378,651,651,240,1946,60.0,1992,0,0,135000
1644,12800,1518,0,569,1989,70.04995836802665,1989,1518,0,275000
907,8593,907,619,352,1957,77.0,1957,288,0,109008
1208,6762,1208,544,628,2007,64.0,2007,664,54,195400
1412,11457,1392,387,576,1988,130.0,1988,1005,0,175000
987,1680,483,96,264,1971,21.0,1971,387,0,85400
1198,5586,901,901,0,1920,60.0,1998,0,98,79900
1365,1920,765,294,440,1971,24.0,1971,471,36,122500
1604,10839,926,926,470,1997,100.0,1998,0,36,181000
630,1890,630,135,0,1972,21.0,1972,495,0,81000
1661,10667,799,70,550,1996,43.0,1996,385,61,212000
1118,4400,648,648,440,1920,40.0,1950,0,0,116000
904,6000,884,884,180,1926,50.0,2004,0,0,119000
694,4280,440,75,352,1913,40.0,2002,365,0,90350
1196,12354,684,684,528,1920,67.0,2000,0,46,110000
2402,15431,3094,788,672,2008,105.0,2008,1767,72,555000
1440,12108,1440,1307,0,1955,92.0,1955,133,0,118000
1573,6240,1078,1078,360,1930,52.0,1992,0,0,162900
1258,3922,1258,1258,648,2006,53.0,2007,0,16,172500
1908,8750,915,273,493,1994,70.0,1995,642,133,210000
1689,9855,1436,1436,480,1956,73.0,1956,0,0,127500
1888,16492,1517,557,578,1966,137.0,2002,247,0,190000
1886,11214,930,930,431,1998,70.04995836802665,1999,0,0,199900
1376,8600,780,780,198,1937,50.0,1950,0,0,119500
1183,6000,649,318,308,1948,50.0,2002,331,176,120000
813,5684,813,813,270,1930,70.0,2005,0,113,110000
1533,70761,1533,878,576,1975,62.0,1975,655,54,280000
1756,9303,872,130,422,1996,70.04995836802665,1997,742,122,204000
1590,9000,768,768,676,2008,75.0,2008,0,30,210000
1728,9297,1728,122,560,1976,63.0,1976,1606,0,188000
