GrLivArea,LotArea,TotalBsmtSF,BsmtUnfSF,GarageArea,YearBuilt,LotFrontage,YearRemodAdd,BsmtFinSF1,OpenPorchSF
1566,9600,930.0,930.0,288.0,1900,60.0,2003,0.0,228
2268,9000,346.0,346.0,624.0,1890,50.0,2002,0.0,108
2256,9045,840.0,840.0,0.0,1910,100.0,1950,0.0,18
1470,10560,738.0,455.0,624.0,1922,60.0,1994,283.0,0
1612,5830,988.0,200.0,363.0,1950,53.0,1997,788.0,0
2068,7793,1108.0,634.0,315.0,1922,70.04995836802664,2005,474.0,0
765,5000,765.0,577.0,200.0,1925,50.0,1950,188.0,0
1132,6000,608.0,144.0,240.0,1939,50.0,1950,452.0,0
1196,6000,572.0,308.0,576.0,1940,50.0,1950,264.0,0
1453,6360,835.0,316.0,240.0,1942,53.0,1950,360.0,0
1416,6000,780.0,480.0,312.0,1948,50.0,1950,300.0,0
1040,6240,528.0,252.0,624.0,1936,52.0,1980,276.0,0
1536,6240,928.0,480.0,480.0,1930,52.0,1950,448.0,10
1068,6120,1124.0,164.0,288.0,1923,51.0,1950,960.0,0
1962,8094,888.0,888.0,572.0,1915,57.0,1950,0.0,0
1560,12900,780.0,780.0,0.0,1912,60.0,2009,0.0,0
1324,3068,662.0,662.0,180.0,1920,52.0,1993,0.0,0
1675,15263,1422.0,656.0,365.0,1959,100.0,1959,766.0,132
1224,10632,689.0,689.0,180.0,1917,72.0,1950,0.0,0
1392,9900,1212.0,186.0,0.0,1915,60.0,1950,1026.0,0
919,6001,600.0,232.0,231.0,1940,65.0,1950,368.0,0
1884,6449,707.0,634.0,0.0,1907,70.04995836802664,1950,73.0,0
1680,6048,856.0,120.0,450.0,1910,60.0,1950,736.0,144
1832,10773,1832.0,1128.0,0.0,1967,72.0,1967,704.0,58
892,7800,864.0,150.0,416.0,1966,65.0,2008,240.0,0
864,7832,864.0,89.0,280.0,1968,65.0,1968,775.0,0
1373,7424,1319.0,0.0,591.0,1978,70.04995836802664,1978,1319.0,0
1440,11227,720.0,0.0,480.0,1968,86.0,1968,267.0,38
1483,20062,1420.0,328.0,690.0,1977,70.04995836802664,2001,1092.0,0
756,9259,660.0,660.0,440.0,1927,94.0,1950,0.0,0
1981,17082,1117.0,153.0,522.0,1978,70.04995836802664,1992,964.0,104
1610,18600,972.0,0.0,480.0,1938,124.0,1990,288.0,0
1074,11479,663.0,172.0,467.0,1950,65.0,1987,104.0,52
1531,9350,756.0,564.0,209.0,1947,50.0,1979,192.0,0
1172,9525,1172.0,218.0,366.0,1954,75.0,1998,954.0,0
1508,17485,1508.0,162.0,572.0,2009,44.0,2010,1346.0,0
1298,11200,1250.0,1250.0,504.0,1964,70.04995836802664,1964,0.0,144
1433,11980,1433.0,0.0,528.0,1987,83.0,1987,1433.0,278
1802,12361,946.0,86.0,1017.0,1993,87.0,1993,860.0,92
1222,7360,1222.0,1198.0,615.0,2010,64.0,2010,24.0,54
1445,14235,676.0,676.0,484.0,1900,82.0,1993,0.0,59
965,11105,870.0,0.0,580.0,1996,82.0,1996,870.0,0
1692,9337,878.0,525.0,513.0,1997,70.04995836802664,1998,353.0,39
1026,15240,1026.0,140.0,308.0,1977,38.0,2004,198.0,85
876,7480,876.0,396.0,484.0,1972,68.0,1972,480.0,0
1978,10389,1978.0,296.0,850.0,2003,80.0,2003,1682.0,25
2098,9375,1040.0,1040.0,621.0,1997,75.0,1997,0.0,38
848,4435,848.0,176.0,420.0,2003,70.04995836802664,2003,672.0,0
640,8777,0.0,0.0,240.0,1945,67.0,2007,0.0,0
992,8842,381.0,381.0,319.0,1954,68.0,1954,0.0,0
1196,10044,1196.0,126.0,336.0,1968,60.0,1968,1070.0,0
1120,11792,744.0,744.0,480.0,1948,89.0,1950,0.0,0
1096,6305,1008.0,480.0,352.0,1975,65.0,1975,528.0,0
960,6410,960.0,960.0,0.0,1958,64.0,1958,0.0,0
1296,4853,1107.0,974.0,260.0,1924,67.0,1999,133.0,0
856,7890,856.0,618.0,399.0,1939,70.04995836802664,1950,238.0,0
2650,7200,0.0,0.0,0.0,1967,60.0,1967,0.0,0
1666,9839,894.0,894.0,0.0,1931,51.0,1950,0.0,156
2133,10452,1528.0,850.0,312.0,1941,78.0,1985,426.0,0
2177,15600,1032.0,657.0,484.0,1950,78.0,1991,375.0,0
1652,19645,423.0,80.0,473.0,1994,85.0,2007,343.0,0
1034,3907,982.0,235.0,598.0,1989,35.0,1989,747.0,36
1191,3907,1191.0,1115.0,531.0,1989,35.0,1989,76.0,81
540,8154,480.0,0.0,200.0,1941,58.0,1950,480.0,0
1107,9140,629.0,321.0,625.0,1921,50.0,1975,308.0,56
952,8712,756.0,756.0,330.0,1896,66.0,1950,0.0,0
1646,3811,1594.0,221.0,525.0,2004,44.0,2005,1373.0,53
1916,11050,1049.0,434.0,741.0,1998,85.0,1999,615.0,70
1285,9620,1243.0,564.0,473.0,1977,74.0,1977,679.0,26
2048,12760,1958.0,1958.0,776.0,1976,70.04995836802664,1976,0.0,0
1346,11896,1336.0,1258.0,660.0,2008,88.0,2008,78.0,48
1214,9803,1214.0,1214.0,520.0,2009,73.0,2010,0.0,25
1444,9802,384.0,384.0,400.0,2006,73.0,2007,0.0,0
1264,15300,1068.0,1026.0,528.0,1965,85.0,1977,42.0,0
1430,10114,1430.0,1430.0,624.0,2004,93.0,2005,0.0,0
1344,11875,1344.0,1344.0,686.0,1999,70.04995836802664,1999,0.0,0
945,2394,945.0,30.0,253.0,1973,31.0,1973,915.0,0
1092,1476,546.0,370.0,0.0,1970,21.0,1970,176.0,26
1092,1900,546.0,546.0,0.0,1970,21.0,1970,0.0,0
1092,1890,546.0,252.0,286.0,1972,21.0,1972,294.0,0
874,6953,864.0,395.0,352.0,1971,50.0,2004,469.0,0
833,12887,833.0,36.0,495.0,1984,76.0,1984,207.0,0
2432,7700,1216.0,1216.0,616.0,1985,70.0,1986,0.0,0
1274,10475,624.0,166.0,576.0,1991,63.0,1991,458.0,0
1479,10544,864.0,388.0,275.0,1969,68.0,1969,476.0,0
1803,9892,1679.0,54.0,482.0,1994,76.0,1995,1341.0,64
1797,12961,1152.0,208.0,616.0,1993,74.0,1994,944.0,312
882,13008,882.0,318.0,502.0,1956,74.0,1956,564.0,0
1434,10200,1434.0,590.0,528.0,1974,85.0,1974,844.0,21
1608,10179,945.0,98.0,470.0,1997,88.0,1997,847.0,30
2283,11792,1008.0,158.0,632.0,2003,70.04995836802664,2003,850.0,46
1628,8400,384.0,100.0,390.0,1996,60.0,1997,284.0,72
2522,7296,2208.0,243.0,564.0,2004,28.0,2005,1965.0,57
1478,7380,1418.0,1077.0,495.0,1998,61.0,1998,341.0,43
1734,8013,1587.0,846.0,528.0,1995,57.0,1996,741.0,50
1382,8923,384.0,195.0,396.0,1998,57.0,1998,189.0,0
1636,7500,952.0,476.0,440.0,1998,60.0,1999,476.0,84
1516,8803,707.0,107.0,409.0,1994,70.04995836802664,1995,600.0,46
1190,7250,1181.0,1181.0,430.0,1993,58.0,1993,0.0,21
1934,11900,1122.0,722.0,567.0,1977,85.0,1977,400.0,176
2050,13250,832.0,832.0,529.0,1978,70.04995836802664,1978,0.0,192
1671,10928,1427.0,1064.0,484.0,1978,80.0,1986,363.0,55
2673,12388,1043.0,441.0,441.0,1980,70.04995836802664,1991,602.0,84
1707,11088,1140.0,308.0,479.0,1978,80.0,1998,832.0,0
1884,7000,926.0,304.0,581.0,2003,70.0,2003,622.0,35
1874,7500,1058.0,1058.0,588.0,2000,70.04995836802664,2001,0.0,134
1811,8470,972.0,471.0,565.0,2002,70.04995836802664,2002,225.0,48
1621,9373,1621.0,120.0,478.0,1975,70.04995836802664,1975,1333.0,0
1116,10140,1116.0,228.0,528.0,1974,78.0,1974,888.0,0
1193,11050,1176.0,540.0,506.0,1975,85.0,1975,636.0,0
1180,7830,1180.0,1180.0,477.0,1970,70.04995836802664,1970,0.0,45
1050,8510,1043.0,543.0,336.0,1971,70.04995836802664,1971,500.0,0
864,7038,864.0,138.0,576.0,1970,60.0,1970,726.0,0
864,9000,864.0,624.0,576.0,1971,60.0,2006,240.0,0
987,1680,483.0,229.0,264.0,1973,21.0,1973,254.0,0
987,1680,483.0,79.0,288.0,1972,21.0,1972,110.0,0
1548,2308,804.0,498.0,440.0,1976,24.0,1976,306.0,0
1055,2280,1057.0,0.0,440.0,1975,24.0,1975,435.0,27
1456,2349,855.0,466.0,440.0,1977,24.0,1977,389.0,28
1548,2364,804.0,484.0,440.0,1978,24.0,1978,320.0,0
1456,2364,855.0,576.0,440.0,1978,24.0,1978,279.0,0
836,2104,836.0,300.0,345.0,1976,24.0,1976,536.0,20
1120,10710,864.0,220.0,656.0,1966,70.04995836802664,2004,644.0,162
2772,14257,1776.0,416.0,754.0,2007,110.0,2007,1360.0,64
2690,12350,1365.0,379.0,864.0,2009,95.0,2009,986.0,197
2020,12350,2020.0,788.0,896.0,2008,95.0,2008,1232.0,98
2674,13693,2630.0,342.0,762.0,2007,105.0,2007,2288.0,50
1736,11578,1736.0,1736.0,834.0,2008,95.0,2008,0.0,90
1782,16870,1782.0,251.0,932.0,2004,129.0,2005,1531.0,82
2520,23303,1508.0,278.0,640.0,2007,59.0,2007,1230.0,273
1743,10367,1739.0,724.0,927.0,2008,87.0,2008,1015.0,45
1531,10872,1504.0,467.0,700.0,2006,77.0,2006,1037.0,52
1808,13514,1774.0,632.0,850.0,2008,102.0,2008,1142.0,26
1760,12878,1760.0,498.0,583.0,2003,90.0,2004,1262.0,190
2452,15274,2452.0,480.0,886.0,2003,110.0,2003,1972.0,116
2400,13262,1082.0,1082.0,730.0,2003,96.0,2004,0.0,40
1606,9658,1598.0,1598.0,871.0,2006,70.0,2006,0.0,60
1358,6904,1358.0,522.0,484.0,2005,47.0,2005,836.0,36
1306,5122,1306.0,425.0,624.0,2005,34.0,2005,881.0,63
1358,10307,1350.0,474.0,484.0,2007,80.0,2008,876.0,26
2492,14836,2492.0,346.0,949.0,2004,100.0,2005,2146.0,235
2200,15262,2200.0,643.0,685.0,2003,117.0,2004,1557.0,55
1884,7390,1884.0,1084.0,649.0,2008,44.0,2009,800.0,90
1456,6472,1451.0,1451.0,539.0,2008,48.0,2008,0.0,42
1712,16770,1712.0,516.0,701.0,2002,129.0,2003,1196.0,183
1405,3480,1405.0,1405.0,478.0,2003,48.0,2003,0.0,36
1456,10928,728.0,728.0,390.0,2005,63.0,2005,0.0,0
1490,8918,745.0,745.0,392.0,2005,57.0,2006,0.0,20
1220,3182,1220.0,1204.0,397.0,2005,43.0,2006,16.0,16
1374,9434,384.0,384.0,400.0,2004,59.0,2005,0.0,0
1630,7984,868.0,868.0,436.0,2004,62.0,2005,0.0,48
1594,10125,846.0,846.0,434.0,2004,61.0,2004,0.0,48
1489,8965,782.0,130.0,400.0,2003,70.04995836802664,2003,652.0,75
1342,8174,698.0,204.0,393.0,2003,70.04995836802664,2003,494.0,56
2004,12891,870.0,219.0,644.0,2002,70.04995836802664,2002,651.0,48
1374,9734,384.0,30.0,400.0,2004,61.0,2004,241.0,0
1514,8433,794.0,111.0,394.0,2000,42.0,2000,683.0,72
1430,7750,384.0,384.0,400.0,1999,62.0,2000,0.0,0
2312,15896,1177.0,264.0,658.0,1999,70.04995836802664,1999,913.0,0
1430,7848,384.0,384.0,410.0,1999,64.0,1999,0.0,0
2687,12720,1455.0,282.0,810.0,2000,106.0,2000,1173.0,30
2063,10750,2024.0,262.0,815.0,1994,70.04995836802664,1995,236.0,56
2061,9085,1070.0,254.0,647.0,1995,79.0,1996,816.0,102
2232,11692,1173.0,549.0,623.0,1993,70.04995836802664,1994,624.0,165
1696,11194,1696.0,1696.0,972.0,2008,86.0,2008,0.0,56
1658,10206,1614.0,1614.0,726.0,2008,78.0,2008,0.0,44
1702,10130,1702.0,408.0,844.0,2007,85.0,2007,1294.0,69
1432,9139,1422.0,1043.0,492.0,2006,76.0,2006,379.0,50
2490,11128,2458.0,300.0,795.0,2005,85.0,2006,2158.0,226
1436,7993,1436.0,1436.0,529.0,2008,90.0,2009,0.0,121
1402,8640,1402.0,1402.0,625.0,2008,72.0,2008,0.0,126
1530,12606,1530.0,1530.0,984.0,2007,112.0,2008,0.0,136
1448,7500,1372.0,1348.0,692.0,2006,75.0,2007,24.0,140
1795,10603,900.0,218.0,782.0,2006,84.0,2006,682.0,45
1836,8125,1836.0,1836.0,517.0,2008,65.0,2009,0.0,175
1662,10625,1652.0,222.0,711.0,2006,85.0,2007,1430.0,120
1553,8736,1553.0,422.0,588.0,2003,68.0,2004,771.0,88
1653,8127,812.0,402.0,628.0,2003,65.0,2003,410.0,45
1218,9605,1218.0,1218.0,576.0,2007,80.0,2007,0.0,178
1141,7500,1141.0,1087.0,484.0,2006,63.0,2006,54.0,0
1158,7500,1158.0,1158.0,0.0,2004,63.0,2004,0.0,50
1812,10628,835.0,835.0,478.0,2004,96.0,2004,0.0,91
1512,10141,1512.0,222.0,845.0,2004,76.0,2004,516.0,36
1114,13072,1114.0,1114.0,576.0,2004,63.0,2005,0.0,102
1114,13072,1114.0,1114.0,0.0,2004,63.0,2004,0.0,39
1114,12450,1114.0,278.0,576.0,2003,60.0,2004,836.0,42
1450,7328,1450.0,1450.0,788.0,2008,61.0,2009,0.0,93
2122,11492,913.0,276.0,559.0,1996,43.0,1997,637.0,74
1730,7703,816.0,400.0,528.0,1992,70.0,1992,52.0,91
1332,7175,1332.0,1332.0,542.0,1990,50.0,1991,0.0,60
1540,9109,754.0,122.0,495.0,1994,70.0,1994,36.0,32
1400,10274,676.0,345.0,465.0,1986,70.04995836802664,1986,331.0,48
1882,8250,0.0,0.0,612.0,1981,75.0,1981,0.0,0
980,9750,980.0,28.0,400.0,1962,63.0,1962,68.0,28
864,8499,864.0,204.0,732.0,1961,70.04995836802664,1961,660.0,312
864,9079,864.0,0.0,440.0,1961,70.04995836802664,1961,864.0,0
1020,9316,1024.0,480.0,288.0,1965,70.04995836802664,1965,544.0,0
912,7791,912.0,288.0,300.0,1963,70.04995836802664,1995,624.0,0
912,7150,912.0,182.0,252.0,1962,65.0,1962,140.0,0
2014,15676,2014.0,189.0,864.0,1980,70.04995836802664,1980,1733.0,0
1755,11949,975.0,158.0,524.0,1991,70.04995836802664,2008,601.0,60
3005,2880,1376.0,1376.0,704.0,2004,32.0,2005,0.0,177
1726,3830,1726.0,1726.0,561.0,2008,70.04995836802664,2008,0.0,254
1256,4217,1145.0,183.0,641.0,2008,70.04995836802664,2008,962.0,169
1512,2998,756.0,249.0,440.0,2000,34.0,2000,507.0,32
1452,3768,691.0,142.0,506.0,1999,35.0,1999,549.0,34
1694,14694,1694.0,306.0,642.0,1977,70.04995836802664,2008,1252.0,120
1740,15417,1740.0,1619.0,540.0,1981,110.0,1981,121.0,20
2499,9600,392.0,392.0,527.0,1976,80.0,1976,0.0,64
2067,12732,752.0,150.0,784.0,1974,70.04995836802664,1974,560.0,40
2640,10400,932.0,932.0,515.0,1967,80.0,1997,0.0,120
1336,9600,1288.0,588.0,502.0,1969,80.0,1969,553.0,11
1216,9000,1216.0,261.0,336.0,1969,75.0,1969,955.0,0
2288,13774,908.0,476.0,520.0,1977,70.04995836802664,1992,432.0,72
864,7130,864.0,216.0,312.0,1967,62.0,1967,648.0,0
1568,9600,1568.0,1568.0,440.0,1967,80.0,1967,0.0,40
2061,9600,1165.0,467.0,498.0,1974,80.0,1974,698.0,77
1320,16500,1232.0,270.0,495.0,1971,70.04995836802664,1971,962.0,20
894,7436,894.0,160.0,396.0,1960,60.0,1960,734.0,0
864,8125,864.0,461.0,308.0,1959,65.0,1959,403.0,0
1362,9450,1040.0,265.0,768.0,1957,70.04995836802664,1957,775.0,0
1728,13495,1048.0,222.0,576.0,1956,70.04995836802664,1956,625.0,99
1313,9350,1313.0,491.0,610.0,1961,85.0,1995,310.0,28
1292,10500,1292.0,294.0,520.0,1964,115.0,1964,998.0,32
2140,8970,744.0,356.0,549.0,1965,70.04995836802664,1965,388.0,40
1576,11475,1208.0,640.0,368.0,1961,85.0,1961,568.0,0
960,9768,960.0,613.0,330.0,1955,68.0,1955,100.0,70
1691,9900,1680.0,507.0,550.0,1967,90.0,1967,1173.0,67
1453,10573,1453.0,141.0,530.0,1961,92.0,1961,1312.0,49
1567,14695,1562.0,175.0,542.0,1966,80.0,2008,1387.0,110
1144,8760,1169.0,313.0,286.0,1956,73.0,1956,856.0,0
1329,12285,1329.0,785.0,441.0,1960,70.04995836802664,1960,544.0,0
988,9240,988.0,280.0,297.0,1959,66.0,1998,708.0,0
1202,8750,1202.0,565.0,304.0,1956,70.0,1956,435.0,35
1382,8750,1382.0,727.0,350.0,1955,70.0,1955,172.0,0
1200,10400,1200.0,295.0,294.0,1956,80.0,1956,155.0,189
1866,9482,1866.0,1866.0,495.0,1958,76.0,1958,0.0,0
1062,8128,1062.0,572.0,297.0,1954,53.0,1954,490.0,0
1112,13070,631.0,323.0,480.0,1951,67.0,1951,308.0,0
793,8480,793.0,93.0,240.0,1945,80.0,1950,700.0,0
1031,7626,1031.0,100.0,230.0,1952,60.0,2005,931.0,0
1210,9533,0.0,0.0,616.0,1953,75.0,1953,0.0,0
1527,11419,699.0,0.0,410.0,1948,78.0,1999,699.0,0
1200,9600,1200.0,810.0,246.0,1950,60.0,1950,390.0,0
792,5470,792.0,792.0,366.0,1958,53.0,1958,0.0,90
1352,10800,676.0,676.0,720.0,1939,60.0,2006,0.0,0
1039,8146,405.0,405.0,281.0,1900,80.0,2003,0.0,0
1078,10230,1054.0,1054.0,264.0,1925,60.0,1950,0.0,0
2377,10410,1313.0,1313.0,528.0,1915,60.0,1950,0.0,0
1690,7200,560.0,560.0,624.0,1910,60.0,2008,0.0,0
599,5400,416.0,416.0,0.0,1940,90.0,1950,0.0,81
846,10800,720.0,720.0,576.0,1920,60.0,1950,0.0,0
725,10800,630.0,630.0,320.0,1890,60.0,1998,0.0,30
2544,9671,1248.0,1248.0,907.0,1969,81.0,1969,0.0,0
1380,10143,1380.0,996.0,364.0,1963,83.0,1963,384.0,0
1040,11500,1040.0,108.0,480.0,1967,77.0,1967,872.0,0
951,8010,951.0,206.0,480.0,1958,62.0,2007,745.0,0
1105,10454,1105.0,559.0,308.0,1957,90.0,1957,546.0,0
1142,9000,160.0,160.0,384.0,1958,80.0,1958,0.0,28
1133,8064,795.0,174.0,900.0,1950,60.0,1950,621.0,0
1041,7350,1041.0,1041.0,294.0,1958,71.0,1958,0.0,0
732,7200,732.0,0.0,240.0,1952,60.0,1952,630.0,68
1183,8000,528.0,0.0,288.0,1959,80.0,1959,433.0,0
1461,10800,832.0,832.0,384.0,1949,60.0,1996,0.0,204
1495,8064,864.0,744.0,576.0,1948,60.0,1994,120.0,36
1806,7570,780.0,780.0,483.0,1964,76.0,1964,0.0,55
941,8604,941.0,0.0,564.0,1978,75.0,1978,941.0,40
1045,7936,1045.0,219.0,264.0,1963,80.0,1963,826.0,0
1378,4080,901.0,901.0,162.0,1935,68.0,1998,0.0,0
1944,10307,972.0,339.0,324.0,1910,57.0,1950,633.0,28
1306,15660,240.0,240.0,472.0,1910,90.0,2003,0.0,0
1464,9900,504.0,504.0,0.0,1910,90.0,2002,0.0,0
1558,6406,690.0,269.0,400.0,1939,57.0,1950,421.0,36
1701,7627,600.0,600.0,0.0,1920,63.0,1950,0.0,0
1447,10134,801.0,801.0,0.0,1910,56.0,1950,0.0,0
1328,6000,768.0,384.0,308.0,1950,50.0,1970,384.0,12
861,7404,861.0,861.0,288.0,1920,62.0,1950,0.0,0
612,5925,0.0,0.0,308.0,1940,50.0,1950,0.0,0
792,8520,624.0,624.0,287.0,1923,60.0,1950,0.0,0
1510,9600,677.0,677.0,720.0,1910,60.0,1950,0.0,0
2007,8400,917.0,917.0,357.0,1900,70.0,1950,0.0,235
1288,3600,624.0,624.0,280.0,1917,60.0,2007,0.0,103
816,3300,624.0,624.0,0.0,1910,70.04995836802664,1950,0.0,33
1480,5400,972.0,972.0,207.0,1920,60.0,1950,0.0,0
1521,9720,741.0,741.0,640.0,1910,60.0,2002,0.0,0
797,9392,245.0,245.0,0.0,1900,72.0,1950,0.0,36
1432,6615,1022.0,1022.0,216.0,1923,70.04995836802664,1950,0.0,61
1654,4960,297.0,297.0,336.0,1930,50.0,1982,0.0,60
1142,6000,468.0,248.0,320.0,1924,60.0,1950,220.0,0
995,6120,960.0,960.0,264.0,1925,51.0,1999,0.0,15
1582,6120,952.0,679.0,250.0,1938,51.0,1950,273.0,0
1072,8635,1072.0,938.0,1184.0,1925,50.0,1950,134.0,0
1768,8094,1048.0,1048.0,576.0,1915,57.0,1950,0.0,0
1944,9928,672.0,672.0,216.0,1915,68.0,1994,0.0,28
2128,3000,1040.0,1040.0,0.0,1922,50.0,1950,0.0,56
1930,6876,720.0,198.0,316.0,1927,57.0,1950,522.0,0
1427,5775,483.0,483.0,379.0,1915,70.04995836802664,2002,0.0,24
1864,5852,1020.0,851.0,0.0,1902,41.0,2000,169.0,188
1666,5160,1204.0,1204.0,384.0,1927,60.0,1950,0.0,0
892,5160,858.0,46.0,0.0,1923,86.0,1950,749.0,0
1403,10320,698.0,160.0,308.0,1915,60.0,1965,276.0,0
704,4280,560.0,560.0,220.0,1946,50.0,2001,0.0,0
1200,10800,1200.0,0.0,0.0,1987,60.0,1988,1200.0,0
1152,10547,1152.0,0.0,252.0,1978,70.04995836802664,1978,1152.0,0
1112,9780,585.0,585.0,226.0,1934,60.0,1950,0.0,0
1052,11625,1052.0,525.0,668.0,1967,75.0,1967,527.0,215
1034,8014,456.0,0.0,504.0,1978,70.04995836802664,1978,456.0,0
1774,15400,552.0,552.0,384.0,1961,88.0,1961,0.0,40
1138,15312,1138.0,550.0,480.0,1960,88.0,1960,588.0,0
2071,15584,825.0,825.0,336.0,1956,70.04995836802664,1956,0.0,28
660,9000,0.0,0.0,0.0,1947,70.04995836802664,1950,0.0,0
1383,15635,0.0,0.0,498.0,1954,70.04995836802664,1954,0.0,0
1073,9571,1073.0,816.0,340.0,1956,68.0,1956,257.0,0
1639,9350,747.0,405.0,240.0,1946,50.0,1950,342.0,50
1089,7440,1089.0,916.0,252.0,1954,62.0,1954,173.0,0
